,Chinese Menu,
menu_food_id,chinese_food_name,price
101,銀芽肉絲 炒麵,60
102,菜遠魚柳炒河,60
103,美極生炒牛肉飯,60
104,黑椒牛肉炒意粉,60
105,印尼炒飯,60
106,泰式菠蘿海鮮炒飯,60
107,清酒炒米粉,60
108,星洲炒米,60
109,日式鰻魚炒飯,65
110,乾炒牛河,65
111,楊州炒飯,60
112,西炒飯,60
113,沙爹牛肉炒可,65
114,鐵板豬扒烏冬,65
115,鐵板豬扒炒公仔麵,60
116,鐵板牛肉炒公仔麵,60
117,鐵板海鮮炒公仔麵,60
118,鐵板海鮮炒烏冬,65
119,榨菜肉絲炆米,65
120,香蔥蝦仁炒滑蛋飯,60
121,芙蓉蛋飯,60
122,香蔥鹹魚雞粒炒飯,65
123,招牌焗鮮茄豬扒飯,75
124,焗鮮茄牛脷飯,75
125,焗鮮茄芝士肉醬腸仔飯,75
126,焗雞扒飯,75
127, 焗芝士海鮮飯,75
128, 焗芝士海鮮飯,75
129,焗芝士魚柳飯,75
130,黑椒西冷牛扒飯,60
131,焗黑椒雞扒飯,75
133,咖哩薯仔豬扒飯,60
134,焗咖哩薯仔雞扒飯,75
135,焗咖哩薯仔牛肉飯,75
136,焗咖哩薯仔鱼柳飯,75
137,焗咖哩薯仔海鮮飯,75
138,焗咖哩薯仔牛脷飯,75
139,板燒黑椒西冷牛扒飯,60
140,香煎洋蔥豬扒飯,60
141,脆皮蒜蓉雞扒飯,60
142,王牌粟米吉列豬扒飯,60
143,粟米吉列牛柳飯,60
145,煎蛋免治牛肉飯,60
146,煎蛋免治牛肉意粉,60
147,沙爹牛肉麵 ,45
148,豬扒湯通粉,45
149,火腿通粉,45
150,餐肉煎蛋公仔麵,45
151,火腿餐蛋公仔麵,45
152,俾製肉絲湯米粉,45
153,三文治半薯皇,35
154,法蘭西多士,35
155,芝士留心多士,40
156,黑鬆露西多士,40
157,咸牛肉三文治,28
158,火腿三文治,28
159,午餐肉三文治,28
160,豬扒包 薯皇 沙律,35
161,熱狗,20
162,煎蛋菠蘿油,25
